Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
22977;jul/22;FERREIRA GOMES ENERGIA S.A.;Controlador;Ações;807.080.529;807.080.529;0
21091;jul/22;ITAÚSA S.A.;Controlador;Ações;801.208.572;801.208.572;0
23884;jul/22;ECO050 CONCESSIONÁRIA DE RODOVIAS S.A.;Controlador;Ações;726.000.000;726.000.000;0
4030;jul/22;CIA SIDERURGICA NACIONAL;Controlador;Ações;725.228.496;725.228.496;0
14311;jul/22;CIA PARANAENSE DE ENERGIA - COPEL;Controlador;Ações;705.312.066;705.312.066;0
24716;jul/22;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;Controlador;Ações;702.674.016;702.674.016;0
26620;jul/22;Auren Energia S.A.;Controlador;Ações;698.033.682;698.033.682;0
22411;jul/22;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;Controlador;Ações;687.664.883;687.664.883;0
21199;jul/22;BCO PAN S.A.;Controlador;Ações;657.560.633;657.560.633;0
17450;jul/22;RUMO S.A.;Controlador;Ações;633.535.144;633.535.144;0
19615;jul/22;GRENDENE S.A.;Controlador;Ações;632.446.131;632.446.131;0
25127;jul/22;Compass Gás e Energia S.A.;Controlador;Ações;628.487.690;628.487.690;0
24112;jul/22;AZUL S.A.;Controlador;Ações;622.406.638;622.406.638;0
26581;jul/22;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.;Controlador;Ações;622.406.625;622.406.625;0
25631;jul/22;Kalunga S.A;Conselho Administração;Ações;622.139.776;622.139.776;0
13986;jul/22;SUZANO S.A.;Controlador;Ações;618.448.591;618.448.591;0
26565;jul/22;HOLDING DO ARAGUAIA S.A.;Controlador;Ações;612.883.152;612.883.152;0
20540;jul/22;CPFL ENERGIAS RENOVÁVEIS S.A.;Controlador;Ações;593.782.504;593.782.504;0
24430;jul/22;COMPANHIA ENERGÉTICA MIRANDA;Controlador;Ações;582.663.130;582.663.130;0
23280;jul/22;OURO VERDE LOCACAO E SERVICO S.A.;Controlador;Ações;568.765.115;568.765.115;0
19836;jul/22;COSAN S.A.;Controlador;Ações;562.702.674;562.702.674;0
17329;jul/22;ENGIE BRASIL ENERGIA S.A.;Controlador;Ações;560.640.791;560.640.791;0
25372;jul/22;SENDAS DISTRIBUIDORA S.A.;Controlador;Ações;552.386.125;552.386.125;0
14320;jul/22;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Controlador;Ações;541.712.225;541.712.225;0
24783;jul/22;Natura &Co Holding S.A.;Controlador;Ações;533.171.569;533.171.569;0
25879;jul/22;Kora Saúde Participações S.A.;Controlador;Ações;515.866.767;515.866.767;0
26727;jul/22;IGUÁ RIO DE JANEIRO S.A.;Controlador;Ações;510.001.000;510.001.000;0
